Dataset,ML Algorithm,ML Parameters,Normalizer,Iterations,Fact Validation Approaches,Approaches Scores,#Approaches,Best Single Approach,Best Single Score,Experiment,Training AUC-ROC Min.,Training AUC-ROC Max.,Training AUC-ROC Mean,Training AUC-ROC Std. Dev.,Testing AUC-ROC Min.,Testing AUC-ROC Max.,Testing AUC-ROC Mean,Testing AUC-ROC Std. Dev.,Improvement
author,GradientBoostingClassifier1500,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.6274747474747475, 'degree_product': 0.2686868686868687, 'jaccard': 0.6704040404040403, 'katz': 0.7577777777777778, 'kl': 0.7785858585858585, 'kl_rel': 0.6933333333333334, 'ks': 0.7135353535353536, 'pathent': 0.826060606060606, 'simrank': 0.8221212121212121, 'pra': 0.9333333333333333, 'predpath': 1.0}",11,predpath,1,eval001.author,"1,00","1,00","1,00",0,1,1,1,0,0
director,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.46222222222222226, 'degree_product': 0.5777777777777777, 'jaccard': 0.46222222222222226, 'katz': 0.6555555555555554, 'kl': 0.5, 'kl_rel': 0.5444444444444444, 'ks': 0.48888888888888893, 'pathent': 0.76, 'simrank': 0.5822222222222222, 'pra': 0.7666666666666666, 'predpath': 0.8333333333333334}",11,predpath,0.833333333333333,eval001.director,0.991020408163265,0.991020408163265,0.991020408163265,0,0.253333333333333,0.253333333333333,0.253333333333333,0,-0.58
birthPlace,GradientBoostingClassifier1500,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.6392828999211978, 'degree_product': 0.48117190138466737, 'jaccard': 0.6549026229877295, 'katz': 0.6749690419903186, 'kl': 0.5653776877181133, 'kl_rel': 0.5506585612968591, 'ks': 0.5387819430372622, 'pathent': 0.6804007655071485, 'simrank': 0.5767477203647416, 'pra': 0.7790442418101993, 'predpath': 0.7548125633232017}",11,pra,0.779044241810199,eval001.birthPlace,0.964622641509434,0.964622641509434,0.964622641509434,0,0.328267477203647,0.328267477203647,0.328267477203647,0,-0.450776764606552
foundationPlace,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.7175604334537372, 'degree_product': 0.6193387051958876, 'jaccard': 0.7040844679077523, 'katz': 0.9327590997499305, 'kl': 0.6326757432620171, 'kl_rel': 0.8694081689358156, 'ks': 0.7168657960544595, 'pathent': 0.8266185051403168, 'simrank': 0.7741039177549319, 'pra': 0.8278688524590163, 'predpath': 0.9335926646290638}",11,predpath,0.933592664629064,eval001.foundationPlace,0.98017537171178,0.98017537171178,0.98017537171178,0,0.508474576271186,0.508474576271186,0.508474576271186,0,-0.425118088357877
foundationPlace,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.7175604334537372, 'degree_product': 0.6193387051958876, 'jaccard': 0.7040844679077523, 'katz': 0.9327590997499305, 'kl': 0.6326757432620171, 'kl_rel': 0.8694081689358156, 'ks': 0.7168657960544595, 'pathent': 0.8266185051403168, 'simrank': 0.7741039177549319, 'pra': 0.8278688524590163, 'predpath': 0.9335926646290638}",11,predpath,0.933592664629064,eval001.foundationPlace,0.979412886008387,0.979412886008387,0.979412886008387,0,0.508474576271186,0.508474576271186,0.508474576271186,0,-0.425118088357877
director,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.46222222222222226, 'degree_product': 0.5777777777777777, 'jaccard': 0.46222222222222226, 'katz': 0.6555555555555554, 'kl': 0.5, 'kl_rel': 0.5444444444444444, 'ks': 0.48888888888888893, 'pathent': 0.76, 'simrank': 0.5822222222222222, 'pra': 0.7666666666666666, 'predpath': 0.8333333333333334}",11,predpath,0.833333333333333,eval001.director,0.986122448979592,0.986122448979592,0.986122448979592,0,0.408888888888889,0.408888888888889,0.408888888888889,0,-0.424444444444444
spouse,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.6198993110757817, 'degree_product': 0.34075251722310546, 'jaccard': 0.6577901430842608, 'katz': 0.7566242713301536, 'kl': 0.674350821409645, 'kl_rel': 0.5967143614202437, 'ks': 0.5826709062003179, 'pathent': 0.7880233174350821, 'simrank': 0.8381028086910439, 'pra': 0.9189189189189189, 'predpath': 0.9391891891891893}",11,predpath,0.939189189189189,eval001.spouse,0.978918918918919,0.978918918918919,0.978918918918919,0,0.519607843137255,0.519607843137255,0.519607843137255,0,-0.419581346051934
foundationPlace,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.7175604334537372, 'degree_product': 0.6193387051958876, 'jaccard': 0.7040844679077523, 'katz': 0.9327590997499305, 'kl': 0.6326757432620171, 'kl_rel': 0.8694081689358156, 'ks': 0.7168657960544595, 'pathent': 0.8266185051403168, 'simrank': 0.7741039177549319, 'pra': 0.8278688524590163, 'predpath': 0.9335926646290638}",11,predpath,0.933592664629064,eval001.foundationPlace,0.98017537171178,0.98017537171178,0.98017537171178,0,0.516949152542373,0.516949152542373,0.516949152542373,0,-0.416643512086691
award,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5283475783475784, 'degree_product': 0.5207264957264958, 'jaccard': 0.5297720797720799, 'katz': 0.6307692307692307, 'kl': 0.5243589743589744, 'kl_rel': 0.5688034188034188, 'ks': 0.5269230769230769, 'pathent': 0.5968660968660969, 'simrank': 0.6884615384615385, 'pra': 0.6978632478632478, 'predpath': 0.7854700854700855}",11,predpath,0.785470085470085,eval001.award,0.925829475308642,0.925829475308642,0.925829475308642,0,0.43019943019943,0.43019943019943,0.43019943019943,0,-0.355270655270655
city,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.8177777777777777, 'degree_product': 0.6355555555555555, 'jaccard': 0.6755555555555556, 'katz': 0.7022222222222223, 'kl': 0.6444444444444444, 'kl_rel': 0.7577777777777778, 'ks': 0.7866666666666666, 'pathent': 0.711111111111111, 'simrank': 0.5555555555555556, 'pra': 0.6333333333333334, 'predpath': 0.6}",11,adamic_adar,0.817777777777778,eval001.city,"1,00","1,00","1,00",0,0.464444444444444,0.464444444444444,0.464444444444444,0,-0.353333333333333
academicDiscipline,GradientBoostingClassifier600,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.6066666666666667, 'degree_product': 0.5711111111111111, 'jaccard': 0.6066666666666667, 'katz': 0.6022222222222222, 'kl': 0.6488888888888888, 'kl_rel': 0.6133333333333334, 'ks': 0.5688888888888889, 'pathent': 0.6044444444444445, 'simrank': 0.74, 'pra': 0.7333333333333333, 'predpath': 0.5333333333333333}",11,simrank,0.74,eval001.academicDiscipline,0.997478991596639,0.997478991596639,0.997478991596639,0,0.391111111111111,0.391111111111111,0.391111111111111,0,-0.348888888888889
city,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.8177777777777777, 'degree_product': 0.6355555555555555, 'jaccard': 0.6755555555555556, 'katz': 0.7022222222222223, 'kl': 0.6444444444444444, 'kl_rel': 0.7577777777777778, 'ks': 0.7866666666666666, 'pathent': 0.711111111111111, 'simrank': 0.5555555555555556, 'pra': 0.6333333333333334, 'predpath': 0.6}",11,adamic_adar,0.817777777777778,eval001.city,"1,00","1,00","1,00",0,0.468888888888889,0.468888888888889,0.468888888888889,0,-0.348888888888889
award,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5283475783475784, 'degree_product': 0.5207264957264958, 'jaccard': 0.5297720797720799, 'katz': 0.6307692307692307, 'kl': 0.5243589743589744, 'kl_rel': 0.5688034188034188, 'ks': 0.5269230769230769, 'pathent': 0.5968660968660969, 'simrank': 0.6884615384615385, 'pra': 0.6978632478632478, 'predpath': 0.7854700854700855}",11,predpath,0.785470085470085,eval001.award,0.927469135802469,0.927469135802469,0.927469135802469,0,0.442165242165242,0.442165242165242,0.442165242165242,0,-0.343304843304843
city,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.8177777777777777, 'degree_product': 0.6355555555555555, 'jaccard': 0.6755555555555556, 'katz': 0.7022222222222223, 'kl': 0.6444444444444444, 'kl_rel': 0.7577777777777778, 'ks': 0.7866666666666666, 'pathent': 0.711111111111111, 'simrank': 0.5555555555555556, 'pra': 0.6333333333333334, 'predpath': 0.6}",11,adamic_adar,0.817777777777778,eval001.city,"1,00","1,00","1,00",0,0.486666666666667,0.486666666666667,0.486666666666667,0,-0.331111111111111
city,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.8177777777777777, 'degree_product': 0.6355555555555555, 'jaccard': 0.6755555555555556, 'katz': 0.7022222222222223, 'kl': 0.6444444444444444, 'kl_rel': 0.7577777777777778, 'ks': 0.7866666666666666, 'pathent': 0.711111111111111, 'simrank': 0.5555555555555556, 'pra': 0.6333333333333334, 'predpath': 0.6}",11,adamic_adar,0.817777777777778,eval001.city,"1,00","1,00","1,00",0,0.493333333333333,0.493333333333333,0.493333333333333,0,-0.324444444444444
city,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.8177777777777777, 'degree_product': 0.6355555555555555, 'jaccard': 0.6755555555555556, 'katz': 0.7022222222222223, 'kl': 0.6444444444444444, 'kl_rel': 0.7577777777777778, 'ks': 0.7866666666666666, 'pathent': 0.711111111111111, 'simrank': 0.5555555555555556, 'pra': 0.6333333333333334, 'predpath': 0.6}",11,adamic_adar,0.817777777777778,eval001.city,"1,00","1,00","1,00",0,0.495555555555556,0.495555555555556,0.495555555555556,0,-0.322222222222222
birthPlace,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.6392828999211978, 'degree_product': 0.48117190138466737, 'jaccard': 0.6549026229877295, 'katz': 0.6749690419903186, 'kl': 0.5653776877181133, 'kl_rel': 0.5506585612968591, 'ks': 0.5387819430372622, 'pathent': 0.6804007655071485, 'simrank': 0.5767477203647416, 'pra': 0.7790442418101993, 'predpath': 0.7548125633232017}",11,pra,0.779044241810199,eval001.birthPlace,0.931109613656784,0.931109613656784,0.931109613656784,0,0.460880333220759,0.460880333220759,0.460880333220759,0,-0.31816390858944
city,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.8177777777777777, 'degree_product': 0.6355555555555555, 'jaccard': 0.6755555555555556, 'katz': 0.7022222222222223, 'kl': 0.6444444444444444, 'kl_rel': 0.7577777777777778, 'ks': 0.7866666666666666, 'pathent': 0.711111111111111, 'simrank': 0.5555555555555556, 'pra': 0.6333333333333334, 'predpath': 0.6}",11,adamic_adar,0.817777777777778,eval001.city,"1,00","1,00","1,00",0,0.533333333333333,0.533333333333333,0.533333333333333,0,-0.284444444444444
city,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.8177777777777777, 'degree_product': 0.6355555555555555, 'jaccard': 0.6755555555555556, 'katz': 0.7022222222222223, 'kl': 0.6444444444444444, 'kl_rel': 0.7577777777777778, 'ks': 0.7866666666666666, 'pathent': 0.711111111111111, 'simrank': 0.5555555555555556, 'pra': 0.6333333333333334, 'predpath': 0.6}",11,adamic_adar,0.817777777777778,eval001.city,"1,00","1,00","1,00",0,0.537777777777778,0.537777777777778,0.537777777777778,0,-0.28
city,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.8177777777777777, 'degree_product': 0.6355555555555555, 'jaccard': 0.6755555555555556, 'katz': 0.7022222222222223, 'kl': 0.6444444444444444, 'kl_rel': 0.7577777777777778, 'ks': 0.7866666666666666, 'pathent': 0.711111111111111, 'simrank': 0.5555555555555556, 'pra': 0.6333333333333334, 'predpath': 0.6}",11,adamic_adar,0.817777777777778,eval001.city,"1,00","1,00","1,00",0,0.564444444444444,0.564444444444444,0.564444444444444,0,-0.253333333333333
affiliation,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.3111111111111111, 'degree_product': 0.5511111111111111, 'jaccard': 0.3466666666666667, 'katz': 0.5733333333333334, 'kl': 0.5022222222222222, 'kl_rel': 0.5733333333333334, 'ks': 0.6444444444444445, 'pathent': 0.6177777777777778, 'simrank': 0.4533333333333333, 'pra': 0.6, 'predpath': 0.9}",11,predpath,0.9,eval001.affiliation,"1,00","1,00","1,00",0,0.648888888888889,0.648888888888889,0.648888888888889,0,-0.251111111111111
factbench,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.665258878348525, 'degree_product': 0.4763120277721054, 'jaccard': 0.6705404050717508, 'katz': 0.784003502453574, 'kl': 0.7083325598232683, 'kl_rel': 0.7254673547812204, 'ks': 0.6987642403202952, 'pathent': 0.7818160159900001, 'simrank': 0.7207938069690162, 'pra': 0.8282668424081534, 'predpath': 0.870938298649142}",11,predpath,0.870938298649142,eval001.factbench,0.997157748849491,0.997157748849491,0.997157748849491,0,0.621468926553672,0.621468926553672,0.621468926553672,0,-0.24946937209547
birthPlace,GradientBoostingClassifier1500,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.6392828999211978, 'degree_product': 0.48117190138466737, 'jaccard': 0.6549026229877295, 'katz': 0.6749690419903186, 'kl': 0.5653776877181133, 'kl_rel': 0.5506585612968591, 'ks': 0.5387819430372622, 'pathent': 0.6804007655071485, 'simrank': 0.5767477203647416, 'pra': 0.7790442418101993, 'predpath': 0.7548125633232017}",11,pra,0.779044241810199,eval001.birthPlace,0.960332434860737,0.960332434860737,0.960332434860737,0,0.546127434425307,0.546127434425307,0.546127434425307,0,-0.232916807384892
city,GradientBoostingClassifier1500,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.8177777777777777, 'degree_product': 0.6355555555555555, 'jaccard': 0.6755555555555556, 'katz': 0.7022222222222223, 'kl': 0.6444444444444444, 'kl_rel': 0.7577777777777778, 'ks': 0.7866666666666666, 'pathent': 0.711111111111111, 'simrank': 0.5555555555555556, 'pra': 0.6333333333333334, 'predpath': 0.6}",11,adamic_adar,0.817777777777778,eval001.city,"1,00","1,00","1,00",0,0.591111111111111,0.591111111111111,0.591111111111111,0,-0.226666666666667
city,GradientBoostingClassifier1500,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.8177777777777777, 'degree_product': 0.6355555555555555, 'jaccard': 0.6755555555555556, 'katz': 0.7022222222222223, 'kl': 0.6444444444444444, 'kl_rel': 0.7577777777777778, 'ks': 0.7866666666666666, 'pathent': 0.711111111111111, 'simrank': 0.5555555555555556, 'pra': 0.6333333333333334, 'predpath': 0.6}",11,adamic_adar,0.817777777777778,eval001.city,"1,00","1,00","1,00",0,0.595555555555556,0.595555555555556,0.595555555555556,0,-0.222222222222222
foundationPlace,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.7175604334537372, 'degree_product': 0.6193387051958876, 'jaccard': 0.7040844679077523, 'katz': 0.9327590997499305, 'kl': 0.6326757432620171, 'kl_rel': 0.8694081689358156, 'ks': 0.7168657960544595, 'pathent': 0.8266185051403168, 'simrank': 0.7741039177549319, 'pra': 0.8278688524590163, 'predpath': 0.9335926646290638}",11,predpath,0.933592664629064,eval001.foundationPlace,0.979412886008387,0.979412886008387,0.979412886008387,0,0.735204223395388,0.735204223395388,0.735204223395388,0,-0.198388441233676
factbench,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.665258878348525, 'degree_product': 0.4763120277721054, 'jaccard': 0.6705404050717508, 'katz': 0.784003502453574, 'kl': 0.7083325598232683, 'kl_rel': 0.7254673547812204, 'ks': 0.6987642403202952, 'pathent': 0.7818160159900001, 'simrank': 0.7207938069690162, 'pra': 0.8282668424081534, 'predpath': 0.870938298649142}",11,predpath,0.870938298649142,eval001.factbench,0.997157748849491,0.997157748849491,0.997157748849491,0,0.703426958991591,0.703426958991591,0.703426958991591,0,-0.167511339657552
spouse,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.6198993110757817, 'degree_product': 0.34075251722310546, 'jaccard': 0.6577901430842608, 'katz': 0.7566242713301536, 'kl': 0.674350821409645, 'kl_rel': 0.5967143614202437, 'ks': 0.5826709062003179, 'pathent': 0.7880233174350821, 'simrank': 0.8381028086910439, 'pra': 0.9189189189189189, 'predpath': 0.9391891891891893}",11,predpath,0.939189189189189,eval001.spouse,0.990675675675676,0.990675675675676,0.990675675675676,0,0.786301006889242,0.786301006889242,0.786301006889242,0,-0.152888182299947
factbench,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.665258878348525, 'degree_product': 0.4763120277721054, 'jaccard': 0.6705404050717508, 'katz': 0.784003502453574, 'kl': 0.7083325598232683, 'kl_rel': 0.7254673547812204, 'ks': 0.6987642403202952, 'pathent': 0.7818160159900001, 'simrank': 0.7207938069690162, 'pra': 0.8282668424081534, 'predpath': 0.870938298649142}",11,predpath,0.870938298649142,eval001.factbench,0.997157748849491,0.997157748849491,0.997157748849491,0,0.722783274855972,0.722783274855972,0.722783274855972,0,-0.14815502379317
birthPlace,GradientBoostingClassifier1500,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.6392828999211978, 'degree_product': 0.48117190138466737, 'jaccard': 0.6549026229877295, 'katz': 0.6749690419903186, 'kl': 0.5653776877181133, 'kl_rel': 0.5506585612968591, 'ks': 0.5387819430372622, 'pathent': 0.6804007655071485, 'simrank': 0.5767477203647416, 'pra': 0.7790442418101993, 'predpath': 0.7548125633232017}",11,pra,0.779044241810199,eval001.birthPlace,0.962106918238994,0.962106918238994,0.962106918238994,0,0.639395474501858,0.639395474501858,0.639395474501858,0,-0.139648767308342
city,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.8177777777777777, 'degree_product': 0.6355555555555555, 'jaccard': 0.6755555555555556, 'katz': 0.7022222222222223, 'kl': 0.6444444444444444, 'kl_rel': 0.7577777777777778, 'ks': 0.7866666666666666, 'pathent': 0.711111111111111, 'simrank': 0.5555555555555556, 'pra': 0.6333333333333334, 'predpath': 0.6}",11,adamic_adar,0.817777777777778,eval001.city,"1,00","1,00","1,00",0,0.697777777777778,0.697777777777778,0.697777777777778,0,-0.12
