subject,predicate,object,truth,degree_product,kl,adamic_adar,jaccard,katz,kl_rel,ks,pra,pathent,simrank,predpath,ensemble_score
http://dbpedia.org/resource/University_of_Sydney,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_Commonwealth_Universities,1,233100.0,0.099641,0.0,0.0,0.0545,0.161186,0.123778,0.0,3290.742635,6.3e-05,1.0,0.7578125
http://dbpedia.org/resource/University_of_Hull,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Global_U8_Consortium,1,1550.0,0.070137,0.0,0.0,0.000875,0.052955,0.028982,0.0,77.126409,2.4e-05,0.0,0.4453125
http://dbpedia.org/resource/University_of_Dar_es_Salaam,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_African_Universities,1,5472.0,0.105982,0.0,0.0,0.006625,0.120884,0.09085,0.0,804.565462,4.1e-05,1.0,0.763671875
http://dbpedia.org/resource/Vijayanagara_Sri_Krishnadevaraya_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(India),1,3225.0,0.081264,0.0,0.0,0.098375,0.093017,0.048294,1.0,3261.06675,0.000975,1.0,0.6640625
http://dbpedia.org/resource/Jahangirnagar_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh),1,2170.0,0.09114,0.116037,0.01,0.025125,0.08657,0.05777,0.0,3201.408006,0.001742,1.0,0.75390625
http://dbpedia.org/resource/Population_Research_Laboratory,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Edmonton,0,27576.0,0.114419,0.226298,0.000867,0.417125,0.649451,0.11927,0.0,4079.118811,0.000431,0.0,0.365234375
http://dbpedia.org/resource/Vinoba_Bhave_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Ranchi_University,0,572.0,0.091469,0.463644,0.075472,0.020875,0.081755,0.042749,1.0,1685.90417,0.004557,0.0,0.251953125
http://dbpedia.org/resource/Jagadguru_Ramanandacharya_Rajasthan_Sanskrit_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Rajasthan,0,14042.0,0.116226,0.394021,0.001493,0.542875,0.607325,0.116157,0.0,5107.386741,0.001058,0.0,0.365234375
http://dbpedia.org/resource/University_of_Strathclyde,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_of_Strathclyde_Students'_Association,0,214.0,0.058077,0.0,0.0,0.0,0.031375,0.013372,0.0,-16.657748,7e-06,0.0,0.1484375
http://dbpedia.org/resource/University_of_Nottingham_Malaysia_Campus,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Selangor,0,9542.0,0.131605,0.646471,0.004032,0.201125,0.607325,0.128731,0.0,4463.587715,0.0005,0.0,0.365234375
http://dbpedia.org/resource/Pondicherry_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Chemistry,0,36640.0,0.063509,0.0,0.0,0.00325,0.071189,0.026331,0.0,391.740262,9.1e-05,0.0,0.44140625
http://dbpedia.org/resource/University_of_Technology_Malaysia,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_of_Sydney,0,38850.0,0.078388,0.325161,0.00175,0.00775,0.174066,0.05221,0.0,298.210878,2.9e-05,1.0,0.7578125
http://dbpedia.org/resource/University_of_East_Anglia,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Norfolk,0,643338.0,0.117301,3.719483,0.004564,0.48225,0.607325,0.168936,0.0,3433.444851,0.000807,0.0,0.36328125
http://dbpedia.org/resource/University_of_Dundee,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Alliance_Trust,0,705.0,0.093663,0.0,0.0,0.00225,0.072451,0.036769,0.0,322.138965,6.8e-05,0.0,0.443359375
http://dbpedia.org/resource/University_of_Science_and_Technology_Chittagong,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_of_Chittagong,0,136.0,0.086085,0.0,0.0,0.00075,0.073563,0.032807,0.0,108.527346,0.000468,0.0,0.455078125
http://dbpedia.org/resource/University_of_Portsmouth,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Portsmouth_F.C.,0,113176.0,0.060406,0.0,0.0,0.0105,0.070821,0.02958,0.0,1300.256613,2.8e-05,0.0,0.416015625
http://dbpedia.org/resource/University_of_Victoria,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/British_Columbia,0,980352.0,0.100567,9.534066,0.002833,1.98,0.607325,0.135787,0.0,7907.493872,0.001229,0.0,0.43359375
http://dbpedia.org/resource/University_of_Hertfordshire,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/The_Watford_UTC,0,240.0,0.090934,0.096664,0.015873,0.00425,0.062902,0.034546,0.0,214.007399,0.000994,0.0,0.416015625
http://dbpedia.org/resource/University_of_Technology_Sarawak,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Yayasan_Sarawak,0,15.0,0.116694,0.15454,0.142857,0.003125,0.077576,0.029983,0.0,124.13503,0.015285,0.0,0.390625
http://dbpedia.org/resource/University_of_Limerick,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/The_Rosetta_Foundation,0,124.0,0.080949,0.0,0.0,0.000875,0.056628,0.028434,0.0,105.676522,0.000364,0.0,0.447265625
