subject,predicate,object,truth,adamic_adar,katz,jaccard,kl_rel,degree_product,kl,ks,simrank,pathent,pra,predpath,ensemble_score
http://dbpedia.org/resource/Sara_Nasserzadeh,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/The_Orgasm_Answer_Guide,0,0.0,0.002,0.0,0.513461,45.0,0.383224,0.211705,7.3e-05,595.271312,0.0,0.0,0.34308965773809713
http://dbpedia.org/resource/Michael_Cole_(psychologist),http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Cross-cultural_psychology,0,0.0,0.00225,0.0,0.77362,90.0,0.312771,0.263318,0.000297,434.776721,0.0,0.0,0.34308965773809713
http://dbpedia.org/resource/Nelson_Cowan,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Neuroscience,0,0.0,0.00225,0.0,0.144076,6768.0,0.087122,0.084333,5.8e-05,444.51068,0.0,1.0,0.34308965773809713
http://dbpedia.org/resource/Maor_Farid,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Mathematics,0,0.0,0.03125,0.0,0.152069,23992.0,0.068578,0.068475,5.3e-05,3393.043384,0.0,1.0,0.3401599702380972
http://dbpedia.org/resource/Paul_Milgrom,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Mathematics,0,0.0,0.021,0.0,0.083534,50983.0,0.069212,0.070296,0.00014,2486.737848,0.0,1.0,0.34308965773809713
http://dbpedia.org/resource/Niklaus_Wirth,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Computer_hardware,0,0.0,0.000375,0.0,0.093943,7800.0,0.076234,0.044186,5.1e-05,64.846262,0.0,0.0,0.34308965773809713
http://dbpedia.org/resource/Norman_Rostoker,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Solid-state_physics,0,0.0,0.0,0.0,0.077712,312.0,0.07168,0.049682,6.5e-05,-16.113821,0.0,0.0,0.34308965773809713
http://dbpedia.org/resource/Kristen_Nygaard,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Computer_program,0,0.0,0.0,0.0,0.051759,65.0,0.081491,0.023158,7.1e-05,-18.376849,0.0,0.0,0.34308965773809713
http://dbpedia.org/resource/W._G._Unruh,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Physical_cosmology,0,0.0,0.000375,0.0,0.078587,351.0,0.086962,0.047758,0.000104,38.487875,0.0,0.0,0.34308965773809713
http://dbpedia.org/resource/Simon_Biesheuvel,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Monograph,0,0.0,0.0,0.0,0.037048,77.0,0.054202,0.013398,9e-06,-18.132431,0.0,0.0,0.3352120535714305
http://dbpedia.org/resource/Thomas_Ollendick,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Psychology,0,0.0,0.00025,0.0,0.124616,5585.0,0.089314,0.066915,5.5e-05,33.54386,1.0,0.0,0.9965494791666667
