subject,predicate,object,truth,kl_rel,degree_product,jaccard,kl,adamic_adar,katz,simrank,ks,predpath,pathent,pra,ensemble_score
http://dbpedia.org/resource/Gerd_Binnig,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.158773,1969.0,0.0,0.094613,0.0,0.01575,5.9e-05,0.093992,1.0,2148.269676,1.0,0.9970152757473095
http://dbpedia.org/resource/Charles_Édouard_Guillaume,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.154011,1969.0,0.0,0.085613,0.0,0.03875,8e-05,0.069962,1.0,3916.288036,1.0,0.9970152757473095
http://dbpedia.org/resource/Heinrich_Rohrer,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.156406,1790.0,0.0,0.086348,0.0,0.038375,7.7e-05,0.075942,1.0,3911.249142,1.0,0.9970152757473095
http://dbpedia.org/resource/Manne_Siegbahn,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.221156,3222.0,0.010256,0.117786,0.768103,0.052125,0.000448,0.138304,1.0,3971.140044,1.0,0.9986167466199196
http://dbpedia.org/resource/John_Steinbeck,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.129469,450.0,0.0,0.099737,0.0,0.000375,8e-05,0.063311,1.0,37.336099,0.0,0.9899023703767358
http://dbpedia.org/resource/Henry_Kissinger,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1,0.063241,2419.0,0.0,0.065314,0.0,0.001375,4e-05,0.036703,1.0,137.54209,0.0,0.9899023703767358
http://dbpedia.org/resource/Juan_Manuel_Santos,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1,0.065825,8732.0,0.0,0.087872,0.0,0.001,1.4e-05,0.045317,1.0,103.616206,0.0,0.9852917361157872
http://dbpedia.org/resource/James_Watson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1,0.159207,5856.0,0.02381,0.116179,1.805079,0.045125,0.000504,0.120275,1.0,3907.609893,0.0,0.9762069531889916
http://dbpedia.org/resource/Ivan_Pavlov,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1,0.11355,3843.0,0.0,0.071693,0.0,0.012625,0.000111,0.051519,1.0,1765.851026,0.0,0.9899023703767358
http://dbpedia.org/resource/Jacobus_Henricus_van_'t_Hoff,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Chemistry,1,0.123494,4740.0,0.0,0.093069,0.0,0.01625,0.000157,0.067111,1.0,2847.95703,0.0,0.9899023703767358
http://dbpedia.org/resource/Andrew_Huxley,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1,0.179716,2928.0,0.0,0.092817,0.0,0.044,5.6e-05,0.097506,1.0,3939.755435,1.0,0.9970152757473095
http://dbpedia.org/resource/Julius_Axelrod,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1,0.129796,2562.0,0.0,0.077436,0.0,0.016875,9.6e-05,0.05178,1.0,2328.82878,0.0,0.9899023703767358
http://dbpedia.org/resource/Alexander_Fleming,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1,0.146754,2745.0,0.0,0.101027,0.0,0.0145,6.3e-05,0.094878,1.0,2128.405898,0.0,0.9899023703767358
http://dbpedia.org/resource/Charles_Thomson_Rees_Wilson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.154011,3222.0,0.0,0.095956,0.0,0.048125,0.000144,0.095517,1.0,4077.829147,1.0,0.9970152757473095
http://dbpedia.org/resource/Ahmed_Zewail,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Chemistry,1,0.166933,4740.0,0.0,0.090473,0.0,0.045875,8.4e-05,0.10682,1.0,4098.190539,1.0,0.9970152757473095
http://dbpedia.org/resource/Hermann_Hesse,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.061489,310.0,0.0,0.073803,0.0,0.0,5.1e-05,0.041273,0.0,-16.1231,0.0,0.2665490581557456
http://dbpedia.org/resource/William_Faulkner,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.129469,400.0,0.0,0.099737,0.0,0.00025,5.7e-05,0.07781,1.0,29.383819,0.0,0.9899023703767358
http://dbpedia.org/resource/Octavio_Paz,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.074995,60.0,0.0,0.072381,0.0,0.0,2.9e-05,0.037215,0.0,-18.492326,0.0,0.2665490581557456
http://dbpedia.org/resource/J._M._Coetzee,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.154011,300.0,0.0,0.113693,0.0,0.005,0.000106,0.059045,1.0,943.344466,1.0,0.9970152757473095
http://dbpedia.org/resource/Toni_Morrison,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.139396,260.0,0.0,0.105526,0.0,0.006375,0.000311,0.055776,1.0,2064.92498,1.0,0.9970152757473095
http://dbpedia.org/resource/Pablo_Neruda,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.060219,200.0,0.0,0.066168,0.0,0.007375,0.000185,0.021191,1.0,6157.779989,1.0,0.9969751485680864
http://dbpedia.org/resource/Eugene_O'Neill,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.064793,340.0,0.0,0.09513,0.0,0.00025,7e-05,0.031737,0.0,19.169581,0.0,0.27704473600771345
http://dbpedia.org/resource/Aleksandr_Solzhenitsyn,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.064162,240.0,0.0,0.066755,0.0,0.0,5.2e-05,0.037124,0.0,-16.492331,0.0,0.2665490581557456
http://dbpedia.org/resource/T._S._Eliot,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.058344,450.0,0.0,0.072274,0.0,0.000125,3.6e-05,0.033092,1.0,1.411944,0.0,0.9905914113921211
http://dbpedia.org/resource/Frans_Eemil_Sillanpää,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.038656,60.0,0.0,0.054272,0.0,0.0,1.3e-05,0.017495,0.0,-18.492326,0.0,0.19414747170229518
http://dbpedia.org/resource/Harold_Pinter,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.06537,500.0,0.0,0.065006,0.0,0.0,3.3e-05,0.038892,0.0,-15.433445,0.0,0.2665490581557456
http://dbpedia.org/resource/Gerhart_Hauptmann,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.061489,180.0,0.0,0.059616,0.0,0.0,2.3e-05,0.027493,0.0,-16.907367,0.0,0.27704473600771345
http://dbpedia.org/resource/Thomas_Mann,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.061489,500.0,0.0,0.070389,0.0,0.0,6.2e-05,0.030172,0.0,-15.433445,0.0,0.27704473600771345
http://dbpedia.org/resource/Czesław_Miłosz,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.082662,140.0,0.0,0.069444,0.0,0.0,3.2e-05,0.051584,0.0,-17.269936,0.0,0.2665490581557456
http://dbpedia.org/resource/Juan_Ramón_Jiménez,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.0506,100.0,0.0,0.063984,0.0,0.0,7.9e-05,0.026634,0.0,-17.755362,0.0,0.27704473600771345
http://dbpedia.org/resource/Ivo_Andrić,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.056368,190.0,0.0,0.06057,0.0,0.0,1.6e-05,0.030878,0.0,-16.829365,0.0,0.19414747170229518
http://dbpedia.org/resource/Naguib_Mahfouz,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.058772,480.0,0.0,0.074,0.0,0.000125,4.4e-05,0.03066,1.0,1.922982,0.0,0.9905914113921211
http://dbpedia.org/resource/Sorley_MacLean,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.066617,140.0,0.0,0.057757,0.0,0.003875,0.000154,0.031744,1.0,1172.207508,1.0,0.9969751485680864
http://dbpedia.org/resource/Patrick_White,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.07563,350.0,0.0,0.068919,0.0,0.0,7.6e-05,0.045402,0.0,-15.948014,0.0,0.2665490581557456
http://dbpedia.org/resource/José_Saramago,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.055942,290.0,0.0,0.068864,0.0,0.00625,0.000154,0.031305,1.0,1835.297348,1.0,0.9969751485680864
http://dbpedia.org/resource/Naguib_Mahfouz,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.058772,480.0,0.0,0.074,0.0,0.000125,4.4e-05,0.03066,1.0,1.922982,0.0,0.9905914113921211
http://dbpedia.org/resource/Eugene_O'Neill,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.064793,340.0,0.0,0.09513,0.0,0.00025,7e-05,0.031737,0.0,19.169581,0.0,0.27704473600771345
http://dbpedia.org/resource/Aleksandr_Solzhenitsyn,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.064162,240.0,0.0,0.066755,0.0,0.0,5.2e-05,0.037124,0.0,-16.492331,0.0,0.2665490581557456
http://dbpedia.org/resource/Wisława_Szymborska,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.061489,80.0,0.0,0.059616,0.0,0.0,1.6e-05,0.032728,0.0,-18.077289,0.0,0.19414747170229518
http://dbpedia.org/resource/Alice_Munro,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.085492,250.0,0.0,0.07143,0.0,0.00425,0.000269,0.039158,1.0,832.72721,1.0,0.9970152757473095
http://dbpedia.org/resource/Louise_Glück,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.129469,150.0,0.0,0.099737,0.0,0.003875,6e-05,0.061736,1.0,1114.925524,1.0,0.9970152757473095
http://dbpedia.org/resource/Patrick_Modiano,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.075897,120.0,0.0,0.064606,0.0,0.0,6.5e-05,0.057193,0.0,-17.492328,0.0,0.2665490581557456
http://dbpedia.org/resource/Abdulrazak_Gurnah,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.05074,150.0,0.0,0.063277,0.0,0.0,6.3e-05,0.02067,0.0,-17.170401,0.0,0.27704473600771345
http://dbpedia.org/resource/Svetlana_Alexievich,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.082905,140.0,0.0,0.069616,0.0,0.0,2.3e-05,0.040242,0.0,-17.269936,0.0,0.2665490581557456
http://dbpedia.org/resource/Olga_Tokarczuk,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.151131,160.0,0.0,0.112116,0.0,0.000125,3.1e-05,0.057641,1.0,7.757289,0.0,0.9899023703767358
http://dbpedia.org/resource/Pietro_Ubaldi,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.040387,60.0,0.0,0.04903,0.0,0.0,1.3e-05,0.018303,0.0,-18.492326,0.0,0.19414747170229518
http://dbpedia.org/resource/William_Golding__William_Golding__1,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.12992,90.0,0.0,0.100004,0.0,0.00275,8.4e-05,0.04433,1.0,616.548602,1.0,0.9970152757473095
http://dbpedia.org/resource/Joseph_Raffael,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/California,1,0.121933,169876.0,0.0,0.065166,0.0,0.083375,0.000114,0.049478,0.0,2541.796705,0.0,0.2681313773352377
http://dbpedia.org/resource/Marco_Sassone,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/California,1,0.288796,315484.0,0.000124,0.076671,0.734316,1.235,0.000422,0.043977,1.0,3306.033409,1.0,0.9986167466199196
http://dbpedia.org/resource/William_T._Wiley,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/California,1,0.134115,266948.0,0.000124,0.067303,0.481397,3.786375,0.000158,0.042967,1.0,3349.374593,1.0,0.9986167466199196
http://dbpedia.org/resource/Albert_Flynn_DeSilver,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/California,1,0.148952,145608.0,0.000124,0.061764,0.462333,3.493875,0.000195,0.031765,1.0,3241.881056,1.0,0.9981872753673566
http://dbpedia.org/resource/Cloyce_Dickerson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/California,1,0.064336,97072.0,8.2e-05,0.050719,0.183616,4.55425,0.00022,0.019092,1.0,2676.633703,1.0,0.9981872753673566
http://dbpedia.org/resource/Elizabeth_Bradford_Holbrook,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/New_York_City,1,0.075621,119955.0,0.0,0.052841,0.0,0.013375,3.3e-05,0.02903,0.0,1845.550902,0.0,0.2786656885698494
http://dbpedia.org/resource/Claudio_Bravo_(painter),http://dbpedia.org/ontology/award,http://dbpedia.org/resource/New_York_City,1,0.083331,191928.0,0.0,0.062624,0.0,0.004125,1.2e-05,0.032918,0.0,383.914853,0.0,0.19414747170229518
http://dbpedia.org/resource/T._S._Eliot,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.058344,450.0,0.0,0.072274,0.0,0.000125,3.6e-05,0.033092,1.0,1.411944,0.0,0.9905914113921211
http://dbpedia.org/resource/Pablo_Neruda,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.060219,200.0,0.0,0.066168,0.0,0.007375,0.000185,0.021191,1.0,6157.779989,1.0,0.9969751485680864
http://dbpedia.org/resource/Walter_Mercado,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/New_York_City,1,0.088688,239910.0,4.2e-05,0.060717,0.099153,3.5375,0.000119,0.035241,1.0,2423.761855,1.0,0.9986167466199196
http://dbpedia.org/resource/Moussa_Sene_Absa,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/New_York_City,1,0.148906,215919.0,0.0,0.066338,0.0,0.0095,8.3e-05,0.046354,0.0,1059.923066,0.0,0.2681313773352377
http://dbpedia.org/resource/Randall_Schmit,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/New_York_City,1,0.181421,143946.0,0.000125,0.066338,0.434419,4.31125,0.000183,0.054617,1.0,2518.468685,1.0,0.9986167466199196
http://dbpedia.org/resource/Ágnes_Szokolszky,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/New_York_City,1,0.108317,95964.0,4.2e-05,0.055713,0.099153,3.53475,8.8e-05,0.024416,1.0,2524.124155,1.0,0.9981872753673566
http://dbpedia.org/resource/Octavio_Paz,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.074995,60.0,0.0,0.072381,0.0,0.0,2.9e-05,0.037215,0.0,-18.492326,0.0,0.2665490581557456
http://dbpedia.org/resource/Anna_Frants,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/New_York_City,1,0.09312,143946.0,4.2e-05,0.061074,0.099153,3.53275,7.3e-05,0.039963,1.0,2422.521564,1.0,0.9986167466199196
http://dbpedia.org/resource/Enrico_Fermi,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.183633,10382.0,0.034934,0.122951,2.787274,0.10975,0.000515,0.140745,1.0,19900.055561,1.0,0.9986167466199196
http://dbpedia.org/resource/Hermann_Hesse,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1,0.061489,310.0,0.0,0.073803,0.0,0.0,5.1e-05,0.041273,0.0,-16.1231,0.0,0.2665490581557456
http://dbpedia.org/resource/Sampat_Shivangi,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/New_York_City,1,0.129923,191928.0,0.0,0.05907,0.0,0.00525,3.5e-05,0.034496,0.0,640.777657,0.0,0.2665490581557456
http://dbpedia.org/resource/Bill_Clinton,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Hope,_Arkansas",1,0.22825,57188.0,0.002882,0.137785,0.926604,0.01875,0.00028,0.136562,0.0,1327.866032,0.0,0.053897416415714994
http://dbpedia.org/resource/Michael_Jackson,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Gary,_Indiana",1,0.142846,83080.0,0.001733,0.090464,0.231616,0.178875,9.7e-05,0.110316,1.0,17754.179223,1.0,0.9986167466199196
http://dbpedia.org/resource/Paul_McCartney,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Liverpool,1,0.217653,838950.0,0.001538,0.090274,1.397449,0.57525,9.3e-05,0.124124,1.0,5685.460112,1.0,0.9986167466199196
http://dbpedia.org/resource/Frank_Sinatra,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Hoboken,_New_Jersey",1,0.105832,38372.0,0.0,0.086584,0.0,0.084,7.1e-05,0.066929,1.0,6347.613998,1.0,0.9970152757473095
http://dbpedia.org/resource/Dwight_D._Eisenhower,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Denison,_Texas",1,0.065342,30177.0,0.0,0.073162,0.0,0.07425,0.000117,0.044492,1.0,3913.880517,1.0,0.9970152757473095
http://dbpedia.org/resource/Kanye_West,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Atlanta,1,0.230246,1487088.0,0.0015,0.087039,1.81757,0.755,0.000194,0.12471,1.0,4482.190787,1.0,0.9986167466199196
http://dbpedia.org/resource/The_Undertaker,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Houston,1,0.767002,45383.0,0.000571,0.109195,0.229946,1.2035,0.000146,0.126095,0.0,2894.559903,1.0,0.9056407410390581
http://dbpedia.org/resource/Harry_S._Truman,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Lamar,_Missouri",1,0.067455,5824.0,0.0,0.073913,0.0,0.056875,0.000171,0.046139,1.0,3917.834772,1.0,0.9970152757473095
http://dbpedia.org/resource/Lady_Gaga,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_York_City,1,0.227519,3430713.0,0.000249,0.076738,1.885783,3.657,7.3e-05,0.11454,1.0,7556.286248,1.0,0.9986076398456137
http://dbpedia.org/resource/Judy_Chicago,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Chicago,1,0.094713,96381.0,9.3e-05,0.063881,0.107772,1.581625,0.000102,0.050775,1.0,3877.895075,1.0,0.9986167466199196
http://dbpedia.org/resource/Prince_(musician),http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Minneapolis,1,0.266256,583950.0,0.00952,0.094984,8.81445,0.68625,0.000365,0.164782,1.0,11171.535029,1.0,0.9986167466199196
http://dbpedia.org/resource/Johnny_Cash,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Kingsland,_Arkansas",1,0.062431,1610.0,0.0,0.065832,0.0,0.000125,6.5e-05,0.019296,0.0,-7.744892,0.0,0.27704473600771345
http://dbpedia.org/resource/Serena_Williams,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Saginaw,_Michigan",1,0.063852,25852.0,0.0,0.055787,0.0,0.000875,6.4e-05,0.025273,0.0,64.480072,0.0,0.27704473600771345
http://dbpedia.org/resource/Daniel_Nestor,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Belgrade,1,0.116057,346800.0,0.000561,0.072288,0.246194,0.286125,3.7e-05,0.044361,1.0,4084.291563,1.0,0.9986167466199196
http://dbpedia.org/resource/Willie_Nelson,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Abbott,_Texas",1,0.280958,1148.0,0.005882,0.211074,0.558111,0.010625,0.001168,0.144194,0.0,1707.004333,0.0,0.053897416415714994
http://dbpedia.org/resource/Bob_Levy_(comedian),http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Staten_Island,1,0.0,619.0,0.0,0.0,0.0,0.08675,0.000595,0.0,1.0,4369.730341,1.0,0.9973678064805174
http://dbpedia.org/resource/Gerald_Ford,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Omaha,_Nebraska",1,0.11979,443424.0,0.0,0.084104,0.0,0.01375,7.8e-05,0.091581,0.0,1295.852201,0.0,0.2633386784732507
http://dbpedia.org/resource/Kaley_Cuoco,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Camarillo,_California",1,0.067799,3040.0,0.0,0.063627,0.0,0.017125,6.3e-05,0.054569,1.0,3192.827788,1.0,0.9970152757473095
http://dbpedia.org/resource/Novak_Djokovic,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Belgrade,1,0.116057,353736.0,0.001403,0.091382,1.920525,0.289125,0.000171,0.094459,1.0,3606.564457,1.0,0.9986167466199196
http://dbpedia.org/resource/Timbaland,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Norfolk,_Virginia",1,0.164756,174216.0,0.001032,0.098418,0.389871,0.218,7.1e-05,0.081763,1.0,6034.436044,1.0,0.9986167466199196
http://dbpedia.org/resource/Ashley_Johnson_(actress),http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Camarillo,_California",1,0.063704,2470.0,0.0,0.060608,0.0,0.0155,0.000102,0.050526,1.0,2750.594349,1.0,0.9970152757473095
http://dbpedia.org/resource/Max_Mirnyi,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Minsk,1,0.122435,76942.0,0.001537,0.075485,0.277101,0.3855,4.8e-05,0.043347,1.0,3502.316829,1.0,0.9986167466199196
http://dbpedia.org/resource/Dolly_Parton,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Pittman_Center,_Tennessee",1,0.111673,1029.0,0.0,0.115882,0.0,0.058375,0.000326,0.06503,1.0,13122.32753,1.0,0.9970152757473095
http://dbpedia.org/resource/Fred_Clarke,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Winterset,_Iowa",1,0.049724,212.0,0.0,0.062453,0.0,0.00025,7.6e-05,0.0208,0.0,8.561037,0.0,0.27704473600771345
http://dbpedia.org/resource/Aretha_Franklin,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Memphis,_Tennessee",1,0.188011,181596.0,0.000573,0.0912,0.389871,0.008875,0.000114,0.094494,1.0,4301.550567,1.0,0.9986167466199196
http://dbpedia.org/resource/Shakira,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Barranquilla,1,0.104372,26196.0,0.00289,0.06927,0.117726,0.104,5.2e-05,0.051823,1.0,33432.073406,1.0,0.9986167466199196
http://dbpedia.org/resource/Mahesh_Bhupathi,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Chennai,1,0.231858,176215.0,0.002528,0.095107,3.66747,0.436125,0.000522,0.19348,1.0,3605.804332,1.0,0.9986167466199196
http://dbpedia.org/resource/Ai_Sugiyama,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Yokohama,1,0.102878,34110.0,0.002497,0.067477,0.238643,0.20225,0.000206,0.024881,1.0,4231.750056,1.0,0.9981872753673566
http://dbpedia.org/resource/Benjamin_Franklin,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Boston,1,0.243484,308440.0,0.00053,0.085387,1.043943,0.05475,0.000277,0.099654,1.0,6873.671356,1.0,0.9986167466199196
http://dbpedia.org/resource/Todd_Woodbridge,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sydney,1,0.858573,469030.0,0.001072,0.103996,2.573379,2.60575,0.000397,0.214883,1.0,6189.479133,1.0,0.9986167466199196
http://dbpedia.org/resource/Tupac_Shakur,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_York_City,1,0.280875,3310758.0,0.000332,0.080181,2.775218,3.6815,0.000206,0.13488,1.0,8678.598358,1.0,0.9986076398456137
